county,year,n,change,pct_change,tooltip
Benton,2028,43001,925,0.02198402890008556,"<b>2028 – Benton</b><br>Population projection: 43,001<br>% change compared to 2024: 2.2%<br>Change compared to 2024: 925"
Benton,2029,43215,1139,0.027070063694267517,"<b>2029 – Benton</b><br>Population projection: 43,215<br>% change compared to 2024: 2.7%<br>Change compared to 2024: 1,139"
Benton,2030,43420,1344,0.03194219982888107,"<b>2030 – Benton</b><br>Population projection: 43,420<br>% change compared to 2024: 3.2%<br>Change compared to 2024: 1,344"
Benton,2031,43616,1540,0.03660043730392623,"<b>2031 – Benton</b><br>Population projection: 43,616<br>% change compared to 2024: 3.7%<br>Change compared to 2024: 1,540"
Benton,2032,43803,1727,0.041044776119402986,"<b>2032 – Benton</b><br>Population projection: 43,803<br>% change compared to 2024: 4.1%<br>Change compared to 2024: 1,727"
Benton,2033,43982,1906,0.04529898279304116,"<b>2033 – Benton</b><br>Population projection: 43,982<br>% change compared to 2024: 4.5%<br>Change compared to 2024: 1,906"
Big Stone,2024,5228,0,0,"<b>2024 – Big Stone</b><br>Population projection: 5,228<br>% change compared to 2024: 0.0%<br>Change compared to 2024: 0"
Big Stone,2025,5262,34,0.006503442999234889,"<b>2025 – Big Stone</b><br>Population projection: 5,262<br>% change compared to 2024: 0.7%<br>Change compared to 2024: 34"
Big Stone,2026,5296,68,0.013006885998469778,"<b>2026 – Big Stone</b><br>Population projection: 5,296<br>% change compared to 2024: 1.3%<br>Change compared to 2024: 68"
Big Stone,2027,5328,100,0.019127773527161437,"<b>2027 – Big Stone</b><br>Population projection: 5,328<br>% change compared to 2024: 1.9%<br>Change compared to 2024: 100"
Big Stone,2028,5360,132,0.0252486610558531,"<b>2028 – Big Stone</b><br>Population projection: 5,360<br>% change compared to 2024: 2.5%<br>Change compared to 2024: 132"
Big Stone,2029,5391,163,0.031178270849273146,"<b>2029 – Big Stone</b><br>Population projection: 5,391<br>% change compared to 2024: 3.1%<br>Change compared to 2024: 163"
Big Stone,2030,5422,194,0.03710788064269319,"<b>2030 – Big Stone</b><br>Population projection: 5,422<br>% change compared to 2024: 3.7%<br>Change compared to 2024: 194"
Big Stone,2031,5451,223,0.042654934965570004,"<b>2031 – Big Stone</b><br>Population projection: 5,451<br>% change compared to 2024: 4.3%<br>Change compared to 2024: 223"
Big Stone,2032,5479,251,0.04801071155317521,"<b>2032 – Big Stone</b><br>Population projection: 5,479<br>% change compared to 2024: 4.8%<br>Change compared to 2024: 251"
Big Stone,2033,5506,278,0.0531752104055088,"<b>2033 – Big Stone</b><br>Population projection: 5,506<br>% change compared to 2024: 5.3%<br>Change compared to 2024: 278"
Blue Earth,2024,71458,0,0,"<b>2024 – Blue Earth</b><br>Population projection: 71,458<br>% change compared to 2024: 0.0%<br>Change compared to 2024: 0"
Blue Earth,2025,72082,624,0.008732402250272888,"<b>2025 – Blue Earth</b><br>Population projection: 72,082<br>% change compared to 2024: 0.9%<br>Change compared to 2024: 624"
Blue Earth,2026,72701,1243,0.017394833328668587,"<b>2026 – Blue Earth</b><br>Population projection: 72,701<br>% change compared to 2024: 1.7%<br>Change compared to 2024: 1,243"
Blue Earth,2027,73307,1849,0.025875339360183606,"<b>2027 – Blue Earth</b><br>Population projection: 73,307<br>% change compared to 2024: 2.6%<br>Change compared to 2024: 1,849"
Blue Earth,2028,73908,2450,0.03428587421982143,"<b>2028 – Blue Earth</b><br>Population projection: 73,908<br>% change compared to 2024: 3.4%<br>Change compared to 2024: 2,450"
Blue Earth,2029,74498,3040,0.042542472501329455,"<b>2029 – Blue Earth</b><br>Population projection: 74,498<br>% change compared to 2024: 4.3%<br>Change compared to 2024: 3,040"
Blue Earth,2030,75077,3619,0.05064513420470766,"<b>2030 – Blue Earth</b><br>Population projection: 75,077<br>% change compared to 2024: 5.1%<br>Change compared to 2024: 3,619"
Blue Earth,2031,75642,4184,0.058551876626829744,"<b>2031 – Blue Earth</b><br>Population projection: 75,642<br>% change compared to 2024: 5.9%<br>Change compared to 2024: 4,184"
Blue Earth,2032,76193,4735,0.066262699767695707,"<b>2032 – Blue Earth</b><br>Population projection: 76,193<br>% change compared to 2024: 6.6%<br>Change compared to 2024: 4,735"
Blue Earth,2033,76734,5276,0.0738335805648073,"<b>2033 – Blue Earth</b><br>Population projection: 76,734<br>% change compared to 2024: 7.4%<br>Change compared to 2024: 5,276"
Brown,2024,25290,0,0,"<b>2024 – Brown</b><br>Population projection: 25,290<br>% change compared to 2024: 0.0%<br>Change compared to 2024: 0"
Brown,2025,25289,-1,-3.9541320680110714e-5,"<b>2025 – Brown</b><br>Population projection: 25,289<br>% change compared to 2024: 0.0%<br>Change compared to 2024: -1"
Brown,2026,25283,-7,-2.76789244760775e-4,"<b>2026 – Brown</b><br>Population projection: 25,283<br>% change compared to 2024: 0.0%<br>Change compared to 2024: -7"
Brown,2027,25273,-17,-6.722024515618822e-4,"<b>2027 – Brown</b><br>Population projection: 25,273<br>% change compared to 2024: -0.1%<br>Change compared to 2024: -17"
Brown,2028,25258,-32,-0.0012653222617635428,"<b>2028 – Brown</b><br>Population projection: 25,258<br>% change compared to 2024: -0.1%<br>Change compared to 2024: -32"
Brown,2029,25238,-52,-0.002056148675365757,"<b>2029 – Brown</b><br>Population projection: 25,238<br>% change compared to 2024: -0.2%<br>Change compared to 2024: -52"
Brown,2030,25213,-77,-0.003044681692368525,"<b>2030 – Brown</b><br>Population projection: 25,213<br>% change compared to 2024: -0.3%<br>Change compared to 2024: -77"
Brown,2031,25183,-107,-0.004230921312771847,"<b>2031 – Brown</b><br>Population projection: 25,183<br>% change compared to 2024: -0.4%<br>Change compared to 2024: -107"
Brown,2032,25148,-142,-0.005614867536575721,"<b>2032 – Brown</b><br>Population projection: 25,148<br>% change compared to 2024: -0.6%<br>Change compared to 2024: -142"
Brown,2033,25107,-183,-0.007236061684460261,"<b>2033 – Brown</b><br>Population projection: 25,107<br>% change compared to 2024: -0.7%<br>Change compared to 2024: -183"
Carlton,2024,36957,0,0,"<b>2024 – Carlton</b><br>Population projection: 36,957<br>% change compared to 2024: 0.0%<br>Change compared to 2024: 0"
Carlton,2025,37143,186,0.0050328760451335336,"<b>2025 – Carlton</b><br>Population projection: 37,143<br>% change compared to 2024: 0.5%<br>Change compared to 2024: 186"
Carlton,2026,37321,364,0.009849284303379603,"<b>2026 – Carlton</b><br>Population projection: 37,321<br>% change compared to 2024: 1.0%<br>Change compared to 2024: 364"
Carlton,2027,37492,535,0.014476283248099141,"<b>2027 – Carlton</b><br>Population projection: 37,492<br>% change compared to 2024: 1.4%<br>Change compared to 2024: 535"
Carlton,2028,37656,699,0.01891387287929215,"<b>2028 – Carlton</b><br>Population projection: 37,656<br>% change compared to 2024: 1.9%<br>Change compared to 2024: 699"
Carlton,2029,37811,854,0.02310793625023676,"<b>2029 – Carlton</b><br>Population projection: 37,811<br>% change compared to 2024: 2.3%<br>Change compared to 2024: 854"
Carlton,2030,37958,1001,0.027085531834293908,"<b>2030 – Carlton</b><br>Population projection: 37,958<br>% change compared to 2024: 2.7%<br>Change compared to 2024: 1,001"
Carlton,2031,38096,1139,0.03081960115810266,"<b>2031 – Carlton</b><br>Population projection: 38,096<br>% change compared to 2024: 3.1%<br>Change compared to 2024: 1,139"
Carlton,2032,38224,1267,0.03428308574830208,"<b>2032 – Carlton</b><br>Population projection: 38,224<br>% change compared to 2024: 3.4%<br>Change compared to 2024: 1,267"
Carlton,2033,38344,1387,0.037530102551614035,"<b>2033 – Carlton</b><br>Population projection: 38,344<br>% change compared to 2024: 3.8%<br>Change compared to 2024: 1,387"
Carver,2024,113149,0,0,"<b>2024 – Carver</b><br>Population projection: 113,149<br>% change compared to 2024: 0.0%<br>Change compared to 2024: 0"
Carver,2025,114732,1583,0.013990402036253083,"<b>2025 – Carver</b><br>Population projection: 114,732<br>% change compared to 2024: 1.4%<br>Change compared to 2024: 1,583"
Carver,2026,116310,3161,0.02793661455249273,"<b>2026 – Carver</b><br>Population projection: 116,310<br>% change compared to 2024: 2.8%<br>Change compared to 2024: 3,161"
Carver,2027,117880,4731,0.04181212383671089,"<b>2027 – Carver</b><br>Population projection: 117,880<br>% change compared to 2024: 4.2%<br>Change compared to 2024: 4,731"
Carver,2028,119441,6292,0.05560809198490486,"<b>2028 – Carver</b><br>Population projection: 119,441<br>% change compared to 2024: 5.6%<br>Change compared to 2024: 6,292"
Carver,2029,120991,7842,0.06930684318906928,"<b>2029 – Carver</b><br>Population projection: 120,991<br>% change compared to 2024: 6.9%<br>Change compared to 2024: 7,842"
Carver,2030,122530,9381,0.08290837744920415,"<b>2030 – Carver</b><br>Population projection: 122,530<br>% change compared to 2024: 8.3%<br>Change compared to 2024: 9,381"
Carver,2031,124053,10904,0.09636850524529603,"<b>2031 – Carver</b><br>Population projection: 124,053<br>% change compared to 2024: 9.6%<br>Change compared to 2024: 10,904"
Carver,2032,125560,12411,0.10968722657734492,"<b>2032 – Carver</b><br>Population projection: 125,560<br>% change compared to 2024: 11.0%<br>Change compared to 2024: 12,411"
Carver,2033,127052,13903,0.12287337934935351,"<b>2033 – Carver</b><br>Population projection: 127,052<br>% change compared to 2024: 12.3%<br>Change compared to 2024: 13,903"
Cass,2024,31720,0,0,"<b>2024 – Cass</b><br>Population projection: 31,720<br>% change compared to 2024: 0.0%<br>Change compared to 2024: 0"
Cass,2025,32084,364,0.011475409836065573,"<b>2025 – Cass</b><br>Population projection: 32,084<br>% change compared to 2024: 1.1%<br>Change compared to 2024: 364"
Cass,2026,32447,727,0.022919293820933166,"<b>2026 – Cass</b><br>Population projection: 32,447<br>% change compared to 2024: 2.3%<br>Change compared to 2024: 727"
Cass,2027,32808,1088,0.03430012610340479,"<b>2027 – Cass</b><br>Population projection: 32,808<br>% change compared to 2024: 3.4%<br>Change compared to 2024: 1,088"
Cass,2028,33166,1446,0.045586380832282475,"<b>2028 – Cass</b><br>Population projection: 33,166<br>% change compared to 2024: 4.6%<br>Change compared to 2024: 1,446"
Cass,2029,33522,1802,0.05680958385876419,"<b>2029 – Cass</b><br>Population projection: 33,522<br>% change compared to 2024: 5.7%<br>Change compared to 2024: 1,802"
Cass,2030,33874,2154,0.06790668348045398,"<b>2030 – Cass</b><br>Population projection: 33,874<br>% change compared to 2024: 6.8%<br>Change compared to 2024: 2,154"
Cass,2031,34222,2502,0.07887767969735184,"<b>2031 – Cass</b><br>Population projection: 34,222<br>% change compared to 2024: 7.9%<br>Change compared to 2024: 2,502"
Cass,2032,34565,2845,0.08969104665825978,"<b>2032 – Cass</b><br>Population projection: 34,565<br>% change compared to 2024: 9.0%<br>Change compared to 2024: 2,845"
Cass,2033,34905,3185,0.10040983606557377,"<b>2033 – Cass</b><br>Population projection: 34,905<br>% change compared to 2024: 10.0%<br>Change compared to 2024: 3,185"
Chippewa,2024,12604,0,0,"<b>2024 – Chippewa</b><br>Population projection: 12,604<br>% change compared to 2024: 0.0%<br>Change compared to 2024: 0"
Chippewa,2025,12705,101,0.008013329101872422,"<b>2025 – Chippewa</b><br>Population projection: 12,705<br>% change compared to 2024: 0.8%<br>Change compared to 2024: 101"
Chippewa,2026,12804,200,0.015867978419549348,"<b>2026 – Chippewa</b><br>Population projection: 12,804<br>% change compared to 2024: 1.6%<br>Change compared to 2024: 200"
Chippewa,2027,12902,298,0.023643287845128532,"<b>2027 – Chippewa</b><br>Population projection: 12,902<br>% change compared to 2024: 2.4%<br>Change compared to 2024: 298"
Chippewa,2028,12998,394,0.03125991748651222,"<b>2028 – Chippewa</b><br>Population projection: 12,998<br>% change compared to 2024: 3.1%<br>Change compared to 2024: 394"
Chippewa,2029,13092,488,0.03871786734370041,"<b>2029 – Chippewa</b><br>Population projection: 13,092<br>% change compared to 2024: 3.9%<br>Change compared to 2024: 488"
Chippewa,2030,13183,579,0.04593779752459537,"<b>2030 – Chippewa</b><br>Population projection: 13,183<br>% change compared to 2024: 4.6%<br>Change compared to 2024: 579"
Chippewa,2031,13272,668,0.052999047921294826,"<b>2031 – Chippewa</b><br>Population projection: 13,272<br>% change compared to 2024: 5.3%<br>Change compared to 2024: 668"
Chippewa,2032,13359,755,0.059901618533798794,"<b>2032 – Chippewa</b><br>Population projection: 13,359<br>% change compared to 2024: 6.0%<br>Change compared to 2024: 755"
Chippewa,2033,13445,841,0.06672484925420502,"<b>2033 – Chippewa</b><br>Population projection: 13,445<br>% change compared to 2024: 6.7%<br>Change compared to 2024: 841"
Chisago,2024,58800,0,0,"<b>2024 – Chisago</b><br>Population projection: 58,800<br>% change compared to 2024: 0.0%<br>Change compared to 2024: 0"
Chisago,2025,59274,474,0.008061224489795918,"<b>2025 – Chisago</b><br>Population projection: 59,274<br>% change compared to 2024: 0.8%<br>Change compared to 2024: 474"
Chisago,2026,59743,943,0.016037414965986395,"<b>2026 – Chisago</b><br>Population projection: 59,743<br>% change compared to 2024: 1.6%<br>Change compared to 2024: 943"
Chisago,2027,60205,1405,0.023894557823129253,"<b>2027 – Chisago</b><br>Population projection: 60,205<br>% change compared to 2024: 2.4%<br>Change compared to 2024: 1,405"
Chisago,2028,60658,1858,0.03159863945578231,"<b>2028 – Chisago</b><br>Population projection: 60,658<br>% change compared to 2024: 3.2%<br>Change compared to 2024: 1,858"
Chisago,2029,61103,2303,0.03916666666666667,"<b>2029 – Chisago</b><br>Population projection: 61,103<br>% change compared to 2024: 3.9%<br>Change compared to 2024: 2,303"
Chisago,2030,61539,2739,0.04658163265306123,"<b>2030 – Chisago</b><br>Population projection: 61,539<br>% change compared to 2024: 4.7%<br>Change compared to 2024: 2,739"
Chisago,2031,61966,3166,0.05384353741496599,"<b>2031 – Chisago</b><br>Population projection: 61,966<br>% change compared to 2024: 5.4%<br>Change compared to 2024: 3,166"
Chisago,2032,62379,3579,0.06086734693877551,"<b>2032 – Chisago</b><br>Population projection: 62,379<br>% change compared to 2024: 6.1%<br>Change compared to 2024: 3,579"
Chisago,2033,62785,3985,0.06777210884353742,"<b>2033 – Chisago</b><br>Population projection: 62,785<br>% change compared to 2024: 6.8%<br>Change compared to 2024: 3,985"
Clay,2024,66684,0,0,"<b>2024 – Clay</b><br>Population projection: 66,684<br>% change compared to 2024: 0.0%<br>Change compared to 2024: 0"
Clay,2025,67099,415,0.006223381920700618,"<b>2025 – Clay</b><br>Population projection: 67,099<br>% change compared to 2024: 0.6%<br>Change compared to 2024: 415"
Clay,2026,67505,821,0.012311798932277608,"<b>2026 – Clay</b><br>Population projection: 67,505<br>% change compared to 2024: 1.2%<br>Change compared to 2024: 821"
Clay,2027,67904,1220,0.018295243236758442,"<b>2027 – Clay</b><br>Population projection: 67,904<br>% change compared to 2024: 1.8%<br>Change compared to 2024: 1,220"
Clay,2028,68291,1607,0.02409873432907444,"<b>2028 – Clay</b><br>Population projection: 68,291<br>% change compared to 2024: 2.4%<br>Change compared to 2024: 1,607"
Clay,2029,68670,1986,0.029782256613280548,"<b>2029 – Clay</b><br>Population projection: 68,670<br>% change compared to 2024: 3.0%<br>Change compared to 2024: 1,986"
Clay,2030,69036,2352,0.03527082958430808,"<b>2030 – Clay</b><br>Population projection: 69,036<br>% change compared to 2024: 3.5%<br>Change compared to 2024: 2,352"
Clay,2031,69390,2706,0.04057944934317077,"<b>2031 – Clay</b><br>Population projection: 69,390<br>% change compared to 2024: 4.1%<br>Change compared to 2024: 2,706"
Clay,2032,69730,3046,0.04567812368784116,"<b>2032 – Clay</b><br>Population projection: 69,730<br>% change compared to 2024: 4.6%<br>Change compared to 2024: 3,046"
Clay,2033,70061,3377,0.05064183312338792,"<b>2033 – Clay</b><br>Population projection: 70,061<br>% change compared to 2024: 5.1%<br>Change compared to 2024: 3,377"
Clearwater,2024,8416,0,0,"<b>2024 – Clearwater</b><br>Population projection: 8,416<br>% change compared to 2024: 0.0%<br>Change compared to 2024: 0"
Clearwater,2025,8349,-67,-0.007961026615969582,"<b>2025 – Clearwater</b><br>Population projection: 8,349<br>% change compared to 2024: -0.8%<br>Change compared to 2024: -67"
Clearwater,2026,8280,-136,-0.016159695817490494,"<b>2026 – Clearwater</b><br>Population projection: 8,280<br>% change compared to 2024: -1.6%<br>Change compared to 2024: -136"
Clearwater,2027,8210,-206,-0.024477186311787073,"<b>2027 – Clearwater</b><br>Population projection: 8,210<br>% change compared to 2024: -2.4%<br>Change compared to 2024: -206"
Clearwater,2028,8138,-278,-0.03303231939163498,"<b>2028 – Clearwater</b><br>Population projection: 8,138<br>% change compared to 2024: -3.3%<br>Change compared to 2024: -278"
Clearwater,2029,8065,-351,-0.041706273764258554,"<b>2029 – Clearwater</b><br>Population projection: 8,065<br>% change compared to 2024: -4.2%<br>Change compared to 2024: -351"
Clearwater,2030,7990,-426,-0.05061787072243346,"<b>2030 – Clearwater</b><br>Population projection: 7,990<br>% change compared to 2024: -5.1%<br>Change compared to 2024: -426"
Clearwater,2031,7914,-502,-0.059648288973384034,"<b>2031 – Clearwater</b><br>Population projection: 7,914<br>% change compared to 2024: -6.0%<br>Change compared to 2024: -502"
Clearwater,2032,7836,-580,-0.06891634980988594,"<b>2032 – Clearwater</b><br>Population projection: 7,836<br>% change compared to 2024: -6.9%<br>Change compared to 2024: -580"
Clearwater,2033,7757,-659,-0.0783032319391635,"<b>2033 – Clearwater</b><br>Population projection: 7,757<br>% change compared to 2024: -7.8%<br>Change compared to 2024: -659"
Cook,2024,5792,0,0,"<b>2024 – Cook</b><br>Population projection: 5,792<br>% change compared to 2024: 0.0%<br>Change compared to 2024: 0"
Cook,2025,5847,55,0.00949585635359116,"<b>2025 – Cook</b><br>Population projection: 5,847<br>% change compared to 2024: 0.9%<br>Change compared to 2024: 55"
Cook,2026,5902,110,0.01899171270718232,"<b>2026 – Cook</b><br>Population projection: 5,902<br>% change compared to 2024: 1.9%<br>Change compared to 2024: 110"
Cook,2027,5955,163,0.028142265193370167,"<b>2027 – Cook</b><br>Population projection: 5,955<br>% change compared to 2024: 2.8%<br>Change compared to 2024: 163"
Cook,2028,6007,215,0.03712016574585635,"<b>2028 – Cook</b><br>Population projection: 6,007<br>% change compared to 2024: 3.7%<br>Change compared to 2024: 215"
Cook,2029,6057,265,0.045752762430939224,"<b>2029 – Cook</b><br>Population projection: 6,057<br>% change compared to 2024: 4.6%<br>Change compared to 2024: 265"
Cook,2030,6107,315,0.0543853591160221,"<b>2030 – Cook</b><br>Population projection: 6,107<br>% change compared to 2024: 5.4%<br>Change compared to 2024: 315"
Cook,2031,6154,362,0.0625,"<b>2031 – Cook</b><br>Population projection: 6,154<br>% change compared to 2024: 6.2%<br>Change compared to 2024: 362"
Cook,2032,6200,408,0.07044198895027624,"<b>2032 – Cook</b><br>Population projection: 6,200<br>% change compared to 2024: 7.0%<br>Change compared to 2024: 408"
Cook,2033,6245,453,0.07821132596685083,"<b>2033 – Cook</b><br>Population projection: 6,245<br>% change compared to 2024: 7.8%<br>Change compared to 2024: 453"
Cottonwood,2024,11099,0,0,"<b>2024 – Cottonwood</b><br>Population projection: 11,099<br>% change compared to 2024: 0.0%<br>Change compared to 2024: 0"
Cottonwood,2025,11070,-29,-0.002612848004324714,"<b>2025 – Cottonwood</b><br>Population projection: 11,070<br>% change compared to 2024: -0.3%<br>Change compared to 2024: -29"
Cottonwood,2026,11038,-61,-0.005495990629786467,"<b>2026 – Cottonwood</b><br>Population projection: 11,038<br>% change compared to 2024: -0.5%<br>Change compared to 2024: -61"
Cottonwood,2027,11005,-94,-0.0084692314622939,"<b>2027 – Cottonwood</b><br>Population projection: 11,005<br>% change compared to 2024: -0.8%<br>Change compared to 2024: -94"
Cottonwood,2028,10970,-129,-0.011622668708892694,"<b>2028 – Cottonwood</b><br>Population projection: 10,970<br>% change compared to 2024: -1.2%<br>Change compared to 2024: -129"
Cottonwood,2029,10932,-167,-0.015046400576628526,"<b>2029 – Cottonwood</b><br>Population projection: 10,932<br>% change compared to 2024: -1.5%<br>Change compared to 2024: -167"
Cottonwood,2030,10892,-207,-0.018650328858455717,"<b>2030 – Cottonwood</b><br>Population projection: 10,892<br>% change compared to 2024: -1.9%<br>Change compared to 2024: -207"
Cottonwood,2031,10850,-249,-0.02243445355437427,"<b>2031 – Cottonwood</b><br>Population projection: 10,850<br>% change compared to 2024: -2.2%<br>Change compared to 2024: -249"
Cottonwood,2032,10805,-294,-0.02648887287142986,"<b>2032 – Cottonwood</b><br>Population projection: 10,805<br>% change compared to 2024: -2.6%<br>Change compared to 2024: -294"
Cottonwood,2033,10759,-340,-0.03063339039553113,"<b>2033 – Cottonwood</b><br>Population projection: 10,759<br>% change compared to 2024: -3.1%<br>Change compared to 2024: -340"
